n,shots,tvd,ebits
4,1000,0.05500001169228856,0
4,4000,0.018250017538432868,0
4,16000,0.008687508769216413,0
6,1000,0.10017228668457893,2
6,4000,0.052315473928647827,2
6,16000,0.025128024076035517,2
